PERIODO,PAGO,INTERES,ABONO,CAPITAL PAGADO,SALDO INSOLUTO
230,1000.85,247.09,753.76,136713.91,113286.09
231,1000.85,245.45,755.40,137469.31,112530.69
232,1000.85,243.82,757.03,138226.34,111773.66
233,1000.85,242.18,758.67,138985.01,111014.99
234,1000.85,240.53,760.32,139745.33,110254.67
235,1000.85,238.89,761.96,140507.29,109492.71
236,1000.85,237.23,763.62,141270.91,108729.09
237,1000.85,235.58,765.27,142036.18,107963.82
238,1000.85,233.92,766.93,142803.11,107196.89
239,1000.85,232.26,768.59,143571.70,106428.30
240,1000.85,230.59,770.25,144341.95,105658.05
241,1000.85,228.93,771.92,145113.87,104886.13
242,1000.85,227.25,773.60,145887.47,104112.53
243,1000.85,225.58,775.27,146662.74,103337.26
244,1000.85,223.90,776.95,147439.69,102560.31
245,1000.85,222.21,778.64,148218.33,101781.67
246,1000.85,220.53,780.32,148998.65,101001.35
247,1000.85,218.84,782.01,149780.66,100219.34
248,1000.85,217.14,783.71,150564.37,99435.63
249,1000.85,215.44,785.41,151349.78,98650.22
250,1000.85,213.74,787.11,152136.88,97863.12
251,1000.85,212.04,788.81,152925.70,97074.30
252,1000.85,210.33,790.52,153716.22,96283.78
253,1000.85,208.61,792.23,154508.45,95491.55
254,1000.85,206.90,793.95,155302.40,94697.60
255,1000.85,205.18,795.67,156098.08,93901.92
256,1000.85,203.45,797.40,156895.47,93104.53
257,1000.85,201.73,799.12,157694.59,92305.41
258,1000.85,200.00,800.85,158495.45,91504.55
259,1000.85,198.26,802.59,159298.04,90701.96
260,1000.85,196.52,804.33,160102.37,89897.63
261,1000.85,194.78,806.07,160908.44,89091.56
262,1000.85,193.03,807.82,161716.25,88283.75
263,1000.85,191.28,809.57,162525.82,87474.18
264,1000.85,189.53,811.32,163337.14,86662.86
265,1000.85,187.77,813.08,164150.22,85849.78
266,1000.85,186.01,814.84,164965.06,85034.94
267,1000.85,184.24,816.61,165781.67,84218.33
268,1000.85,182.47,818.38,166600.05,83399.95
269,1000.85,180.70,820.15,167420.20,82579.80
270,1000.85,178.92,821.93,168242.12,81757.88
271,1000.85,177.14,823.71,169065.83,80934.17
272,1000.85,175.36,825.49,169891.32,80108.68
273,1000.85,173.57,827.28,170718.60,79281.40
274,1000.85,171.78,829.07,171547.68,78452.32
275,1000.85,169.98,830.87,172378.55,77621.45
276,1000.85,168.18,832.67,173211.21,76788.79
277,1000.85,166.38,834.47,174045.69,75954.31
278,1000.85,164.57,836.28,174881.97,75118.03
279,1000.85,162.76,838.09,175720.06,74279.94
280,1000.85,160.94,839.91,176559.97,73440.03
281,1000.85,159.12,841.73,177401.70,72598.30
282,1000.85,157.30,843.55,178245.26,71754.74
283,1000.85,155.47,845.38,179090.64,70909.36
284,1000.85,153.64,847.21,179937.85,70062.15
285,1000.85,151.80,849.05,180786.90,69213.10
286,1000.85,149.96,850.89,181637.78,68362.22
287,1000.85,148.12,852.73,182490.51,67509.49
288,1000.85,146.27,854.58,183345.09,66654.91
289,1000.85,144.42,856.43,184201.52,65798.48
290,1000.85,142.56,858.29,185059.81,64940.19
291,1000.85,140.70,860.15,185919.96,64080.04
292,1000.85,138.84,862.01,186781.96,63218.04
293,1000.85,136.97,863.88,187645.84,62354.16
294,1000.85,135.10,865.75,188511.59,61488.41
295,1000.85,133.22,867.62,189379.21,60620.79
296,1000.85,131.35,869.50,190248.72,59751.28
297,1000.85,129.46,871.39,191120.11,58879.89
298,1000.85,127.57,873.28,191993.38,58006.62
299,1000.85,125.68,875.17,192868.55,57131.45
300,1000.85,123.78,877.06,193745.62,56254.38
301,1000.85,121.88,878.96,194624.58,55375.42
302,1000.85,119.98,880.87,195505.45,54494.55
303,1000.85,118.07,882.78,196388.23,53611.77
304,1000.85,116.16,884.69,197272.92,52727.08
305,1000.85,114.24,886.61,198159.52,51840.48
306,1000.85,112.32,888.53,199048.05,50951.95
307,1000.85,110.40,890.45,199938.51,50061.49
308,1000.85,108.47,892.38,200830.89,49169.11
309,1000.85,106.53,894.32,201725.21,48274.79
310,1000.85,104.60,896.25,202621.46,47378.54
311,1000.85,102.65,898.20,203519.66,46480.34
312,1000.85,100.71,900.14,204419.80,45580.20
313,1000.85,98.76,902.09,205321.89,44678.11
314,1000.85,96.80,904.05,206225.94,43774.06
315,1000.85,94.84,906.01,207131.94,42868.06
316,1000.85,92.88,907.97,208039.91,41960.09
317,1000.85,90.91,909.94,208949.85,41050.15
318,1000.85,88.94,911.91,209861.75,40138.25
319,1000.85,86.97,913.88,210775.64,39224.36
320,1000.85,84.99,915.86,211691.50,38308.50
321,1000.85,83.00,917.85,212609.35,37390.65
322,1000.85,81.01,919.84,213529.18,36470.82
323,1000.85,79.02,921.83,214451.01,35548.99
324,1000.85,77.02,923.83,215374.84,34625.16
325,1000.85,75.02,925.83,216300.67,33699.33
326,1000.85,73.02,927.83,217228.50,32771.50
327,1000.85,71.00,929.84,218158.35,31841.65
328,1000.85,68.99,931.86,219090.20,30909.80
329,1000.85,66.97,933.88,220024.08,29975.92
330,1000.85,64.95,935.90,220959.98,29040.02
331,1000.85,62.92,937.93,221897.91,28102.09
332,1000.85,60.89,939.96,222837.87,27162.13
333,1000.85,58.85,942.00,223779.87,26220.13
334,1000.85,56.81,944.04,224723.91,25276.09
335,1000.85,54.76,946.08,225670.00,24330.00
336,1000.85,52.72,948.13,226618.13,23381.87
337,1000.85,50.66,950.19,227568.32,22431.68
338,1000.85,48.60,952.25,228520.57,21479.43
339,1000.85,46.54,954.31,229474.88,20525.12
340,1000.85,44.47,956.38,230431.25,19568.75
341,1000.85,42.40,958.45,231389.70,18610.30
342,1000.85,40.32,960.53,232350.23,17649.77
343,1000.85,38.24,962.61,233312.84,16687.16
344,1000.85,36.16,964.69,234277.53,15722.47
345,1000.85,34.07,966.78,235244.32,14755.68
346,1000.85,31.97,968.88,236213.20,13786.80
347,1000.85,29.87,970.98,237184.17,12815.83
348,1000.85,27.77,973.08,238157.26,11842.74
349,1000.85,25.66,975.19,239132.45,10867.55
350,1000.85,23.55,977.30,240109.75,9890.25
351,1000.85,21.43,979.42,241089.17,8910.83
352,1000.85,19.31,981.54,242070.71,7929.29
353,1000.85,17.18,983.67,243054.38,6945.62
354,1000.85,15.05,985.80,244040.18,5959.82
355,1000.85,12.91,987.94,245028.12,4971.88
356,1000.85,10.77,990.08,246018.19,3981.81
357,1000.85,8.63,992.22,247010.42,2989.58
358,1000.85,6.48,994.37,248004.79,1995.21
359,1000.85,4.32,996.53,249001.31,998.69
360,1000.85,2.16,998.69,250000.00,-0.00
